gridN;gridM;create_data;copy_data;full_cycle;computing_kernel;updating_buffers;average_cell/s
32;32;6;70;2951;2776;18;0.0301215278
64;64;20;68;2298;2043;40;0.0055419922
128;128;85;101;2475;2214;76;0.0015014648
256;256;321;180;2503;2170;141;0.0003679064
512;512;1135;523;3697;2621;764;0.0001110925
1024;1024;3752;2360;12142;6238;4863;0.0000661002
2048;2048;13960;8011;41427;20831;16974;0.0000551833
4096;4096;56357;29387;219449;129671;69505;0.0000858777
8192;8192;269281;115138;913079;571835;258313;0.0000946778
