gridN;gridM;create_data;copy_data;full_cycle;computing_kernel;updating_buffers;average_cell/s
32;32;6;58;6238;5896;14;0.0639756944
64;64;22;72;4739;4318;15;0.0117133247
128;128;73;86;6144;5596;38;0.0037950304
256;256;315;199;5737;4908;295;0.0008321126
512;512;1144;578;12427;10862;760;0.0004603916
1024;1024;4423;2969;30998;20936;6093;0.0002218458
2048;2048;19192;8570;61153;38122;17869;0.0001009888
4096;4096;75923;30031;274292;169434;79522;0.0001122117
8192;8192;291257;122665;1046783;693454;258846;0.0001148141
